Year,Country,Athlete,Sport,Event,Medal
1980,UK,Athlete_497,Fencing,Fencing Event 1,Silver
1980,Russia,Athlete_363,Cycling,Cycling Event 6,Bronze
1980,UK,Athlete_245,Athletics,Athletics Event 2,Silver
1980,Australia,Athlete_483,Boxing,Boxing Event 4,Gold
1980,Italy,Athlete_14,Boxing,Boxing Event 2,Silver
1980,Australia,Athlete_291,Athletics,Athletics Event 1,Gold
1980,Italy,Athlete_321,Athletics,Athletics Event 9,Silver
1980,Italy,Athlete_104,Boxing,Boxing Event 2,Gold
1980,Germany,Athlete_278,Judo,Judo Event 3,Silver
1980,France,Athlete_131,Fencing,Fencing Event 1,Silver
1980,UK,Athlete_398,Swimming,Swimming Event 2,Bronze
1980,Canada,Athlete_412,Fencing,Fencing Event 8,Bronze
1980,UK,Athlete_320,Judo,Judo Event 7,Gold
1980,Japan,Athlete_210,Rowing,Rowing Event 6,Gold
1980,Japan,Athlete_317,Wrestling,Wrestling Event 2,Silver
1980,Australia,Athlete_49,Boxing,Boxing Event 2,Bronze
1980,USA,Athlete_304,Gymnastics,Gymnastics Event 10,Silver
1980,Australia,Athlete_245,Swimming,Swimming Event 1,Gold
1980,Italy,Athlete_321,Judo,Judo Event 8,Gold
1980,Germany,Athlete_100,Gymnastics,Gymnastics Event 10,Bronze
1980,Germany,Athlete_388,Judo,Judo Event 1,Gold
1980,France,Athlete_359,Judo,Judo Event 2,Silver
1980,Italy,Athlete_411,Fencing,Fencing Event 1,Silver
1980,USA,Athlete_267,Athletics,Athletics Event 9,Silver
1980,Australia,Athlete_99,Wrestling,Wrestling Event 4,Gold
1980,USA,Athlete_49,Judo,Judo Event 8,Silver
1980,Canada,Athlete_102,Wrestling,Wrestling Event 2,Gold
1980,Japan,Athlete_26,Shooting,Shooting Event 5,Gold
1980,Russia,Athlete_498,Gymnastics,Gymnastics Event 4,Silver
1980,France,Athlete_65,Rowing,Rowing Event 3,Silver
1980,Russia,Athlete_114,Shooting,Shooting Event 1,Gold
1980,UK,Athlete_107,Boxing,Boxing Event 9,Silver
1980,Italy,Athlete_451,Shooting,Shooting Event 1,Silver
1980,UK,Athlete_302,Cycling,Cycling Event 2,Gold
1980,UK,Athlete_460,Judo,Judo Event 1,Gold
1980,USA,Athlete_95,Wrestling,Wrestling Event 8,Silver
1980,Russia,Athlete_414,Gymnastics,Gymnastics Event 6,Gold
1980,USA,Athlete_18,Gymnastics,Gymnastics Event 9,Silver
1980,Germany,Athlete_147,Rowing,Rowing Event 1,Bronze
1980,Australia,Athlete_94,Shooting,Shooting Event 10,Gold
1980,Japan,Athlete_319,Swimming,Swimming Event 8,Gold
1980,Japan,Athlete_206,Swimming,Swimming Event 5,Gold
1980,Canada,Athlete_365,Fencing,Fencing Event 8,Gold
1980,Italy,Athlete_84,Judo,Judo Event 1,Gold
1980,France,Athlete_402,Fencing,Fencing Event 6,Bronze
1980,Italy,Athlete_121,Shooting,Shooting Event 4,Silver
1980,Canada,Athlete_160,Wrestling,Wrestling Event 1,Silver
1980,Russia,Athlete_129,Wrestling,Wrestling Event 7,Silver
1980,Italy,Athlete_463,Swimming,Swimming Event 2,Gold
1980,Canada,Athlete_476,Cycling,Cycling Event 1,Bronze
1980,Russia,Athlete_47,Swimming,Swimming Event 5,Silver
1980,Italy,Athlete_105,Gymnastics,Gymnastics Event 4,Gold
1980,Australia,Athlete_303,Cycling,Cycling Event 10,Silver
1980,Germany,Athlete_220,Wrestling,Wrestling Event 7,Silver
1980,USA,Athlete_367,Athletics,Athletics Event 1,Bronze
1980,France,Athlete_403,Rowing,Rowing Event 3,Gold
1980,Canada,Athlete_343,Boxing,Boxing Event 6,Silver
1980,Australia,Athlete_232,Boxing,Boxing Event 2,Gold
1980,Germany,Athlete_250,Rowing,Rowing Event 5,Gold
1980,China,Athlete_233,Swimming,Swimming Event 7,Silver
1980,Australia,Athlete_376,Swimming,Swimming Event 7,Silver
1980,Australia,Athlete_386,Fencing,Fencing Event 8,Silver
1980,Germany,Athlete_383,Cycling,Cycling Event 4,Gold
1980,USA,Athlete_1,Athletics,Athletics Event 9,Gold
1980,Australia,Athlete_471,Judo,Judo Event 8,Silver
1980,Russia,Athlete_420,Wrestling,Wrestling Event 10,Bronze
1980,Japan,Athlete_385,Shooting,Shooting Event 6,Bronze
1980,Canada,Athlete_152,Athletics,Athletics Event 6,Gold
1980,UK,Athlete_157,Boxing,Boxing Event 9,Silver
1980,Canada,Athlete_327,Judo,Judo Event 6,Silver
1980,China,Athlete_131,Gymnastics,Gymnastics Event 1,Silver
1980,USA,Athlete_108,Cycling,Cycling Event 2,Bronze
1980,Japan,Athlete_14,Judo,Judo Event 8,Gold
1980,Russia,Athlete_496,Boxing,Boxing Event 8,Bronze
1980,Italy,Athlete_125,Gymnastics,Gymnastics Event 10,Bronze
1980,USA,Athlete_427,Rowing,Rowing Event 7,Silver
1980,Russia,Athlete_353,Boxing,Boxing Event 4,Bronze
1980,Italy,Athlete_482,Swimming,Swimming Event 6,Bronze
1980,France,Athlete_267,Rowing,Rowing Event 8,Silver
1980,USA,Athlete_383,Judo,Judo Event 9,Gold
1980,Germany,Athlete_194,Rowing,Rowing Event 1,Bronze
1980,France,Athlete_110,Athletics,Athletics Event 6,Bronze
1980,China,Athlete_250,Gymnastics,Gymnastics Event 4,Gold
1980,Russia,Athlete_452,Athletics,Athletics Event 9,Silver
1980,Canada,Athlete_69,Boxing,Boxing Event 7,Bronze
1980,Canada,Athlete_146,Rowing,Rowing Event 3,Gold
1980,Canada,Athlete_411,Fencing,Fencing Event 5,Gold
1980,UK,Athlete_219,Athletics,Athletics Event 2,Bronze
1980,Japan,Athlete_138,Fencing,Fencing Event 3,Bronze
1980,Canada,Athlete_106,Athletics,Athletics Event 6,Silver
1980,China,Athlete_44,Boxing,Boxing Event 6,Bronze
1980,China,Athlete_145,Fencing,Fencing Event 1,Bronze
1980,Russia,Athlete_404,Swimming,Swimming Event 2,Silver
1980,Germany,Athlete_476,Swimming,Swimming Event 4,Silver
1980,China,Athlete_394,Shooting,Shooting Event 5,Bronze
1980,Russia,Athlete_225,Boxing,Boxing Event 6,Silver
1980,USA,Athlete_69,Swimming,Swimming Event 7,Gold
1980,Russia,Athlete_23,Fencing,Fencing Event 4,Silver
1980,Japan,Athlete_89,Wrestling,Wrestling Event 2,Silver
1980,USA,Athlete_8,Cycling,Cycling Event 2,Gold
1980,Russia,Athlete_460,Wrestling,Wrestling Event 5,Silver
1980,Japan,Athlete_26,Shooting,Shooting Event 6,Silver
1980,Russia,Athlete_392,Shooting,Shooting Event 1,Bronze
1980,USA,Athlete_139,Boxing,Boxing Event 5,Bronze
1980,Russia,Athlete_87,Swimming,Swimming Event 1,Bronze
1980,Canada,Athlete_120,Boxing,Boxing Event 7,Bronze
1980,Italy,Athlete_414,Fencing,Fencing Event 5,Bronze
1980,UK,Athlete_96,Swimming,Swimming Event 1,Bronze
1980,China,Athlete_31,Athletics,Athletics Event 3,Gold
1980,Germany,Athlete_363,Gymnastics,Gymnastics Event 1,Gold
1980,Russia,Athlete_324,Gymnastics,Gymnastics Event 7,Silver
1980,Italy,Athlete_233,Judo,Judo Event 5,Bronze
1980,France,Athlete_336,Gymnastics,Gymnastics Event 9,Bronze
1980,Japan,Athlete_317,Swimming,Swimming Event 1,Gold
1980,Italy,Athlete_268,Athletics,Athletics Event 2,Silver
1980,France,Athlete_410,Swimming,Swimming Event 3,Gold
1980,China,Athlete_103,Rowing,Rowing Event 1,Silver
1980,France,Athlete_439,Athletics,Athletics Event 2,Silver
1980,Italy,Athlete_406,Gymnastics,Gymnastics Event 3,Silver
1980,Canada,Athlete_269,Rowing,Rowing Event 8,Bronze
1980,UK,Athlete_293,Shooting,Shooting Event 4,Gold
1980,France,Athlete_149,Gymnastics,Gymnastics Event 2,Bronze
1980,Japan,Athlete_69,Cycling,Cycling Event 7,Silver
1980,UK,Athlete_259,Rowing,Rowing Event 2,Gold
1980,France,Athlete_21,Shooting,Shooting Event 5,Gold
1980,China,Athlete_344,Boxing,Boxing Event 3,Bronze
1980,Italy,Athlete_15,Rowing,Rowing Event 2,Bronze
1980,China,Athlete_366,Athletics,Athletics Event 5,Silver
1980,Australia,Athlete_148,Swimming,Swimming Event 6,Gold
1980,Russia,Athlete_188,Swimming,Swimming Event 7,Silver
1980,Italy,Athlete_42,Athletics,Athletics Event 6,Bronze
1980,Australia,Athlete_122,Shooting,Shooting Event 8,Bronze
1980,Australia,Athlete_102,Athletics,Athletics Event 9,Gold
1980,Italy,Athlete_13,Judo,Judo Event 7,Silver
1980,Italy,Athlete_309,Judo,Judo Event 7,Silver
1980,Australia,Athlete_153,Cycling,Cycling Event 4,Gold
1980,Australia,Athlete_248,Fencing,Fencing Event 8,Silver
1980,France,Athlete_387,Swimming,Swimming Event 7,Gold
1980,Russia,Athlete_81,Athletics,Athletics Event 10,Bronze
1980,Japan,Athlete_196,Judo,Judo Event 10,Gold
1980,China,Athlete_363,Gymnastics,Gymnastics Event 4,Bronze
1980,Japan,Athlete_440,Rowing,Rowing Event 10,Silver
1980,Italy,Athlete_359,Athletics,Athletics Event 4,Gold
1980,China,Athlete_426,Rowing,Rowing Event 10,Bronze
1980,Italy,Athlete_30,Athletics,Athletics Event 9,Bronze
1980,France,Athlete_98,Fencing,Fencing Event 1,Bronze
1980,Italy,Athlete_192,Rowing,Rowing Event 9,Bronze
1980,Russia,Athlete_303,Gymnastics,Gymnastics Event 9,Bronze
1980,Japan,Athlete_309,Athletics,Athletics Event 5,Silver
1980,Australia,Athlete_61,Boxing,Boxing Event 6,Gold
1984,Japan,Athlete_355,Boxing,Boxing Event 8,Gold
1984,Australia,Athlete_457,Rowing,Rowing Event 10,Gold
1984,Canada,Athlete_50,Swimming,Swimming Event 5,Gold
1984,Italy,Athlete_490,Boxing,Boxing Event 5,Bronze
1984,UK,Athlete_85,Athletics,Athletics Event 9,Silver
1984,France,Athlete_165,Swimming,Swimming Event 8,Bronze
1984,Australia,Athlete_272,Wrestling,Wrestling Event 9,Bronze
1984,Russia,Athlete_437,Judo,Judo Event 7,Bronze
1984,China,Athlete_318,Wrestling,Wrestling Event 4,Gold
1984,Canada,Athlete_135,Cycling,Cycling Event 7,Bronze
1984,Canada,Athlete_152,Judo,Judo Event 1,Bronze
1984,China,Athlete_77,Fencing,Fencing Event 3,Silver
1984,Italy,Athlete_219,Cycling,Cycling Event 9,Silver
1984,Australia,Athlete_246,Cycling,Cycling Event 6,Gold
1984,Australia,Athlete_287,Gymnastics,Gymnastics Event 4,Gold
1984,France,Athlete_39,Athletics,Athletics Event 2,Bronze
1984,France,Athlete_214,Wrestling,Wrestling Event 9,Bronze
1984,Japan,Athlete_450,Swimming,Swimming Event 7,Gold
1984,France,Athlete_277,Rowing,Rowing Event 7,Bronze
1984,Australia,Athlete_394,Cycling,Cycling Event 4,Gold
1984,France,Athlete_306,Boxing,Boxing Event 7,Gold
1984,UK,Athlete_68,Wrestling,Wrestling Event 2,Bronze
1984,Italy,Athlete_412,Fencing,Fencing Event 9,Silver
1984,Australia,Athlete_229,Gymnastics,Gymnastics Event 3,Bronze
1984,Canada,Athlete_145,Wrestling,Wrestling Event 5,Bronze
1984,USA,Athlete_391,Fencing,Fencing Event 4,Gold
1984,UK,Athlete_362,Shooting,Shooting Event 2,Silver
1984,Canada,Athlete_246,Athletics,Athletics Event 5,Gold
1984,China,Athlete_104,Swimming,Swimming Event 10,Gold
1984,Canada,Athlete_492,Athletics,Athletics Event 5,Bronze
1984,UK,Athlete_52,Cycling,Cycling Event 9,Silver
1984,China,Athlete_29,Wrestling,Wrestling Event 6,Gold
1984,USA,Athlete_18,Gymnastics,Gymnastics Event 5,Bronze
1984,Japan,Athlete_16,Swimming,Swimming Event 10,Bronze
1984,Italy,Athlete_157,Rowing,Rowing Event 1,Gold
1984,Australia,Athlete_185,Gymnastics,Gymnastics Event 4,Silver
1984,France,Athlete_91,Athletics,Athletics Event 7,Gold
1984,UK,Athlete_325,Judo,Judo Event 9,Bronze
1984,China,Athlete_336,Fencing,Fencing Event 8,Silver
1984,Australia,Athlete_294,Cycling,Cycling Event 2,Gold
1984,Russia,Athlete_269,Boxing,Boxing Event 3,Silver
1984,Australia,Athlete_151,Rowing,Rowing Event 3,Bronze
1984,USA,Athlete_15,Swimming,Swimming Event 6,Gold
1984,Italy,Athlete_433,Fencing,Fencing Event 8,Silver
1984,France,Athlete_240,Cycling,Cycling Event 6,Bronze
1984,USA,Athlete_183,Gymnastics,Gymnastics Event 3,Bronze
1984,Germany,Athlete_290,Judo,Judo Event 4,Bronze
1984,Germany,Athlete_109,Swimming,Swimming Event 8,Silver
1984,Russia,Athlete_105,Wrestling,Wrestling Event 8,Silver
1984,Russia,Athlete_153,Wrestling,Wrestling Event 8,Silver
1984,Canada,Athlete_328,Swimming,Swimming Event 5,Silver
1984,USA,Athlete_159,Boxing,Boxing Event 9,Silver
1984,Russia,Athlete_362,Swimming,Swimming Event 6,Silver
1984,UK,Athlete_483,Swimming,Swimming Event 6,Bronze
1984,Australia,Athlete_473,Fencing,Fencing Event 7,Gold
1984,China,Athlete_156,Athletics,Athletics Event 4,Gold
1984,Germany,Athlete_26,Swimming,Swimming Event 8,Bronze
1984,Germany,Athlete_51,Gymnastics,Gymnastics Event 6,Bronze
1984,Japan,Athlete_482,Rowing,Rowing Event 3,Gold
1984,France,Athlete_449,Athletics,Athletics Event 10,Gold
1984,Germany,Athlete_119,Wrestling,Wrestling Event 8,Bronze
1984,France,Athlete_435,Wrestling,Wrestling Event 2,Silver
1984,Germany,Athlete_439,Wrestling,Wrestling Event 2,Bronze
1984,Japan,Athlete_44,Fencing,Fencing Event 9,Gold
1984,Italy,Athlete_383,Wrestling,Wrestling Event 5,Bronze
1984,China,Athlete_125,Rowing,Rowing Event 2,Bronze
1984,France,Athlete_396,Gymnastics,Gymnastics Event 1,Silver
1984,Russia,Athlete_494,Cycling,Cycling Event 3,Gold
1984,Germany,Athlete_126,Wrestling,Wrestling Event 8,Bronze
1984,Germany,Athlete_94,Fencing,Fencing Event 8,Gold
1984,UK,Athlete_310,Judo,Judo Event 1,Bronze
1984,Russia,Athlete_111,Rowing,Rowing Event 10,Bronze
1984,Russia,Athlete_326,Boxing,Boxing Event 6,Bronze
1984,USA,Athlete_67,Boxing,Boxing Event 4,Silver
1984,Japan,Athlete_410,Cycling,Cycling Event 9,Bronze
1984,China,Athlete_33,Athletics,Athletics Event 9,Gold
1984,UK,Athlete_453,Shooting,Shooting Event 10,Bronze
1984,Russia,Athlete_496,Athletics,Athletics Event 10,Silver
1984,Germany,Athlete_249,Cycling,Cycling Event 8,Bronze
1984,UK,Athlete_73,Cycling,Cycling Event 2,Silver
1984,Canada,Athlete_398,Cycling,Cycling Event 5,Gold
1984,China,Athlete_107,Gymnastics,Gymnastics Event 8,Gold
1984,Russia,Athlete_378,Wrestling,Wrestling Event 8,Gold
1984,Italy,Athlete_458,Judo,Judo Event 10,Gold
1984,Australia,Athlete_115,Athletics,Athletics Event 3,Bronze
1984,UK,Athlete_111,Judo,Judo Event 5,Gold
1984,USA,Athlete_92,Athletics,Athletics Event 8,Bronze
1984,Italy,Athlete_329,Shooting,Shooting Event 1,Gold
1984,UK,Athlete_485,Shooting,Shooting Event 6,Bronze
1984,Italy,Athlete_6,Swimming,Swimming Event 7,Bronze
1984,China,Athlete_17,Fencing,Fencing Event 2,Bronze
1984,Russia,Athlete_112,Boxing,Boxing Event 1,Bronze
1984,USA,Athlete_257,Judo,Judo Event 6,Silver
1984,USA,Athlete_176,Wrestling,Wrestling Event 3,Silver
1984,UK,Athlete_462,Swimming,Swimming Event 7,Bronze
1984,Japan,Athlete_109,Boxing,Boxing Event 4,Silver
1984,Russia,Athlete_279,Boxing,Boxing Event 4,Bronze
1984,Japan,Athlete_83,Judo,Judo Event 4,Bronze
1984,Russia,Athlete_416,Wrestling,Wrestling Event 8,Silver
1984,Canada,Athlete_337,Rowing,Rowing Event 9,Bronze
1984,Germany,Athlete_287,Athletics,Athletics Event 3,Gold
1984,Canada,Athlete_303,Rowing,Rowing Event 9,Bronze
1984,UK,Athlete_447,Gymnastics,Gymnastics Event 5,Gold
1984,Italy,Athlete_317,Rowing,Rowing Event 9,Bronze
1984,UK,Athlete_267,Shooting,Shooting Event 7,Bronze
1984,Canada,Athlete_415,Wrestling,Wrestling Event 3,Bronze
1984,Russia,Athlete_173,Boxing,Boxing Event 1,Gold
1984,Germany,Athlete_365,Swimming,Swimming Event 9,Gold
1984,USA,Athlete_37,Wrestling,Wrestling Event 4,Bronze
1984,China,Athlete_65,Athletics,Athletics Event 7,Gold
1984,Germany,Athlete_337,Shooting,Shooting Event 8,Silver
1984,Australia,Athlete_296,Athletics,Athletics Event 9,Silver
1984,UK,Athlete_365,Athletics,Athletics Event 4,Bronze
1984,UK,Athlete_500,Rowing,Rowing Event 9,Bronze
1984,France,Athlete_12,Athletics,Athletics Event 7,Gold
1984,UK,Athlete_442,Judo,Judo Event 4,Bronze
1984,Japan,Athlete_425,Swimming,Swimming Event 5,Gold
1984,Japan,Athlete_451,Shooting,Shooting Event 7,Silver
1984,Canada,Athlete_92,Boxing,Boxing Event 1,Bronze
1984,France,Athlete_194,Rowing,Rowing Event 10,Gold
1984,Japan,Athlete_108,Swimming,Swimming Event 9,Silver
1984,France,Athlete_460,Shooting,Shooting Event 5,Silver
1984,Italy,Athlete_84,Judo,Judo Event 10,Bronze
1984,France,Athlete_413,Rowing,Rowing Event 1,Gold
1984,Russia,Athlete_292,Athletics,Athletics Event 4,Gold
1984,Germany,Athlete_422,Gymnastics,Gymnastics Event 10,Bronze
1984,USA,Athlete_73,Judo,Judo Event 2,Silver
1984,Russia,Athlete_153,Wrestling,Wrestling Event 2,Gold
1984,UK,Athlete_352,Wrestling,Wrestling Event 1,Gold
1984,Italy,Athlete_208,Fencing,Fencing Event 2,Gold
1984,Australia,Athlete_219,Swimming,Swimming Event 3,Silver
1984,UK,Athlete_2,Rowing,Rowing Event 1,Silver
1984,Germany,Athlete_13,Fencing,Fencing Event 4,Gold
1984,UK,Athlete_114,Gymnastics,Gymnastics Event 4,Silver
1984,France,Athlete_341,Swimming,Swimming Event 5,Silver
1984,Japan,Athlete_129,Shooting,Shooting Event 10,Bronze
1984,UK,Athlete_65,Cycling,Cycling Event 8,Silver
1984,Canada,Athlete_6,Boxing,Boxing Event 6,Gold
1984,Italy,Athlete_429,Fencing,Fencing Event 7,Bronze
1984,China,Athlete_157,Judo,Judo Event 10,Gold
1984,Russia,Athlete_89,Gymnastics,Gymnastics Event 7,Silver
1984,China,Athlete_28,Athletics,Athletics Event 8,Gold
1984,France,Athlete_2,Fencing,Fencing Event 10,Gold
1984,China,Athlete_247,Shooting,Shooting Event 3,Bronze
1984,Italy,Athlete_87,Boxing,Boxing Event 1,Bronze
1984,Russia,Athlete_164,Rowing,Rowing Event 10,Silver
1984,Russia,Athlete_203,Athletics,Athletics Event 7,Bronze
1984,France,Athlete_485,Fencing,Fencing Event 3,Bronze
1984,USA,Athlete_315,Rowing,Rowing Event 10,Bronze
1984,China,Athlete_184,Fencing,Fencing Event 3,Bronze
1984,Canada,Athlete_171,Judo,Judo Event 8,Silver
1984,Germany,Athlete_492,Shooting,Shooting Event 1,Gold
1984,Italy,Athlete_251,Athletics,Athletics Event 6,Gold
1984,Russia,Athlete_14,Rowing,Rowing Event 7,Gold
1984,UK,Athlete_147,Swimming,Swimming Event 9,Silver
1984,China,Athlete_453,Shooting,Shooting Event 4,Bronze
1984,Japan,Athlete_110,Swimming,Swimming Event 3,Gold
1984,Russia,Athlete_458,Cycling,Cycling Event 10,Bronze
1984,Australia,Athlete_295,Rowing,Rowing Event 8,Gold
1984,China,Athlete_159,Wrestling,Wrestling Event 6,Gold
1984,Germany,Athlete_40,Cycling,Cycling Event 6,Bronze
1984,Russia,Athlete_150,Athletics,Athletics Event 10,Silver
1984,Japan,Athlete_431,Shooting,Shooting Event 10,Gold
1984,Australia,Athlete_344,Wrestling,Wrestling Event 8,Bronze
1984,Australia,Athlete_97,Rowing,Rowing Event 4,Silver
1984,China,Athlete_89,Rowing,Rowing Event 8,Gold
1984,Germany,Athlete_15,Swimming,Swimming Event 7,Bronze
1984,Germany,Athlete_416,Rowing,Rowing Event 9,Bronze
1984,France,Athlete_280,Cycling,Cycling Event 3,Gold
1984,Japan,Athlete_234,Wrestling,Wrestling Event 6,Gold
1984,USA,Athlete_451,Shooting,Shooting Event 1,Silver
1984,Canada,Athlete_176,Fencing,Fencing Event 3,Silver
1984,China,Athlete_106,Wrestling,Wrestling Event 2,Bronze
1984,Australia,Athlete_233,Shooting,Shooting Event 4,Silver
1984,Canada,Athlete_253,Swimming,Swimming Event 2,Silver
1984,France,Athlete_307,Athletics,Athletics Event 8,Silver
1984,Canada,Athlete_208,Swimming,Swimming Event 9,Bronze
1984,Italy,Athlete_433,Shooting,Shooting Event 8,Gold
1984,France,Athlete_284,Wrestling,Wrestling Event 3,Silver
1984,Russia,Athlete_208,Boxing,Boxing Event 3,Gold
1984,Canada,Athlete_242,Fencing,Fencing Event 2,Gold
1984,China,Athlete_411,Wrestling,Wrestling Event 4,Bronze
1984,China,Athlete_457,Cycling,Cycling Event 2,Gold
1984,Australia,Athlete_54,Boxing,Boxing Event 6,Gold
1984,Canada,Athlete_383,Gymnastics,Gymnastics Event 4,Bronze
1984,USA,Athlete_154,Fencing,Fencing Event 3,Gold
1984,Germany,Athlete_181,Gymnastics,Gymnastics Event 10,Gold
1984,Canada,Athlete_195,Shooting,Shooting Event 2,Silver
1984,Russia,Athlete_129,Boxing,Boxing Event 3,Bronze
1984,Canada,Athlete_312,Cycling,Cycling Event 3,Gold
1984,Russia,Athlete_21,Swimming,Swimming Event 3,Bronze
1984,Russia,Athlete_111,Rowing,Rowing Event 3,Silver
1984,Japan,Athlete_456,Rowing,Rowing Event 3,Gold
1984,Germany,Athlete_312,Athletics,Athletics Event 9,Bronze
1984,USA,Athlete_348,Swimming,Swimming Event 3,Gold
1984,UK,Athlete_287,Cycling,Cycling Event 3,Silver
1984,UK,Athlete_481,Shooting,Shooting Event 8,Silver
1984,Italy,Athlete_444,Shooting,Shooting Event 5,Gold
1984,Italy,Athlete_109,Shooting,Shooting Event 1,Bronze
1984,Canada,Athlete_245,Boxing,Boxing Event 4,Silver
1988,Italy,Athlete_20,Wrestling,Wrestling Event 4,Silver
1988,Russia,Athlete_26,Rowing,Rowing Event 4,Bronze
1988,Germany,Athlete_20,Swimming,Swimming Event 5,Bronze
1988,Australia,Athlete_22,Judo,Judo Event 10,Bronze
1988,Australia,Athlete_177,Cycling,Cycling Event 7,Silver
1988,USA,Athlete_318,Athletics,Athletics Event 2,Gold
1988,France,Athlete_22,Fencing,Fencing Event 5,Silver
1988,Canada,Athlete_273,Wrestling,Wrestling Event 8,Silver
1988,Russia,Athlete_470,Boxing,Boxing Event 4,Bronze
1988,Italy,Athlete_62,Cycling,Cycling Event 2,Silver
1988,Australia,Athlete_135,Boxing,Boxing Event 5,Gold
1988,Australia,Athlete_5,Boxing,Boxing Event 4,Bronze
1988,Russia,Athlete_439,Boxing,Boxing Event 2,Silver
1988,Japan,Athlete_108,Judo,Judo Event 7,Bronze
1988,Canada,Athlete_88,Gymnastics,Gymnastics Event 5,Bronze
1988,France,Athlete_29,Swimming,Swimming Event 3,Bronze
1988,Germany,Athlete_80,Shooting,Shooting Event 1,Bronze
1988,UK,Athlete_457,Wrestling,Wrestling Event 9,Silver
1988,Italy,Athlete_368,Wrestling,Wrestling Event 10,Silver
1988,Japan,Athlete_360,Wrestling,Wrestling Event 9,Bronze
1988,Germany,Athlete_269,Swimming,Swimming Event 10,Gold
1988,UK,Athlete_40,Gymnastics,Gymnastics Event 8,Gold
1988,UK,Athlete_191,Cycling,Cycling Event 4,Gold
1988,Italy,Athlete_187,Shooting,Shooting Event 1,Bronze
1988,USA,Athlete_399,Fencing,Fencing Event 7,Gold
1988,Australia,Athlete_353,Shooting,Shooting Event 4,Bronze
1988,USA,Athlete_483,Shooting,Shooting Event 9,Silver
1988,France,Athlete_166,Wrestling,Wrestling Event 7,Bronze
1988,France,Athlete_150,Boxing,Boxing Event 9,Silver
1988,Australia,Athlete_388,Gymnastics,Gymnastics Event 10,Gold
1988,UK,Athlete_416,Boxing,Boxing Event 5,Silver
1988,France,Athlete_484,Fencing,Fencing Event 2,Silver
1988,Australia,Athlete_278,Swimming,Swimming Event 7,Bronze
